Date,close,P_E,P_B,Div_Yield,a10_y_GSEC,Yield_gap,EPS,MCAP_GDP,EPS_1YEARAGO,EPS_GROWTH_1,PEG_1,PEGY_1,EPS_3YEARAGO,EPS_GROWTH_3,PEG_3,PEGY_3,return_1,return_3,return-5,return_7,return_10
15-Mar-16,"? 7,460.60",20.14,2.99,1.55,7.599,2.633756703,? 370.44,63,? 373.96,0.95%,21.14986038,8.048749206,? 320.08,-5.05%,-3.984470241,-5.746693061,22.26%,56.41%,,,
16-Mar-16,"? 7,498.75",20.24,3,1.55,7.58,2.639288538,? 370.49,63,? 372.95,0.66%,30.56399355,9.149192343,? 322.41,-4.74%,-4.271988194,-6.349125071,20.43%,56.20%,,,
17-Mar-16,"? 7,512.55",20.28,3.01,1.54,7.571,2.640033531,? 370.44,63,? 372.95,0.68%,29.97796041,9.14957254,? 322.37,-4.74%,-4.276834836,-6.33388879,20.95%,54.99%,,,
18-Mar-16,"? 7,604.35",20.52,3.05,1.52,7.512,2.638705653,? 370.58,63,? 373.07,0.67%,30.59087296,9.366491458,? 322.42,-4.75%,-4.322426341,-6.358189841,19.77%,52.52%,,,
21-Mar-16,"? 7,704.25",20.79,3.09,1.5,7.52,2.70999519,? 370.57,63,? 372.97,0.65%,32.15624109,9.685395655,? 322.50,-4.73%,-4.394045976,-6.433738963,17.41%,51.42%,,,
22-Mar-16,"? 7,714.90",20.82,3.09,1.5,7.504,2.700926033,? 370.55,63,? 373.07,0.68%,30.64991874,9.553596416,? 322.42,-4.75%,-4.385855954,-6.411918795,17.96%,50.42%,,,
23-Mar-16,"? 7,716.50",20.83,3.09,1.5,7.504,2.703231877,? 370.45,63,? 373.08,0.71%,29.31652597,9.423118967,? 322.36,-4.75%,-4.38124508,-6.400651402,18.50%,51.26%,,,
28-Mar-16,"? 7,615.10",20.55,3.05,1.52,7.507,2.640819951,? 370.56,63,? 372.95,0.64%,31.92242487,9.497408736,? 322.34,-4.75%,-4.330573407,-6.371441019,20.47%,52.12%,,,
29-Mar-16,"? 7,597.00",20.5,3.04,1.52,7.498,2.61995122,? 370.59,63,? 372.95,0.64%,32.18925529,9.504564277,? 322.43,-4.74%,-4.329235746,-6.375871233,21.60%,52.65%,,,
30-Mar-16,"? 7,735.20",20.88,3.1,1.49,7.514,2.724727969,? 370.46,63,? 372.99,0.68%,30.60692834,9.612381276,? 323.48,-4.64%,-4.504021415,-6.637300688,19.78%,50.53%,,,
01-Apr-16,"? 7,713.05",21.19,3.26,1.45,7.514,2.794792827,? 363.99,63,? 372.97,2.47%,8.591686728,5.410667358,? 323.53,-4.63%,-4.576726008,-6.663632548,20.08%,51.57%,,,
04-Apr-16,"? 7,758.80",21.31,3.28,1.44,7.459,2.766367433,? 364.09,63,? 373.08,2.47%,8.636299279,5.453625908,? 323.45,-4.65%,-4.586193237,-6.645761173,18.55%,51.92%,,,
05-Apr-16,"? 7,603.20",20.88,3.21,1.47,7.408,2.618727969,? 364.14,63,? 373.05,2.45%,8.526965271,5.328294438,? 323.60,-4.63%,-4.509848404,-6.607872264,20.76%,54.58%,,,
06-Apr-16,"? 7,614.35",20.91,3.22,1.47,7.408,2.625599235,? 364.15,63,? 373.01,2.43%,8.590246981,5.355831265,? 323.56,-4.63%,-4.51583087,-6.616298979,21.31%,52.27%,,,
07-Apr-16,"? 7,546.45",20.73,3.19,1.48,7.462,2.638073324,? 364.04,63,? 373.08,2.49%,8.340077773,5.227471503,? 323.46,-4.65%,-4.461902065,-6.547692858,21.96%,53.40%,,,
08-Apr-16,"? 7,555.20",20.75,3.19,1.48,7.46,2.640722892,? 364.11,63,? 374.05,2.73%,7.594854587,4.926268744,? 323.53,-4.72%,-4.394794052,-6.401366437,21.12%,55.21%,,,
11-Apr-16,"? 7,671.40",21.07,3.24,1.45,7.447,2.70091552,? 364.09,63,? 374.11,2.75%,7.656846374,5.01453471,? 323.55,-4.73%,-4.459187487,-6.433438391,19.13%,51.76%,,,
12-Apr-16,"? 7,708.95",21.17,3.26,1.45,7.415,2.691334436,? 364.15,63,? 374.13,2.74%,7.721672403,5.050536315,? 323.54,-4.73%,-4.478550915,-6.460225489,18.11%,52.48%,,,
13-Apr-16,"? 7,850.45",21.56,3.32,1.42,7.417,2.778781076,? 364.12,63,? 373.59,2.60%,8.287571606,5.361202544,? 323.49,-4.69%,-4.600204083,-6.599834485,15.96%,49.65%,,,
18-Apr-16,"? 7,914.70",21.68,3.34,1.41,7.435,2.822453875,? 365.07,63,? 373.45,2.30%,9.444101798,5.850584444,? 323.60,-4.66%,-4.648628802,-6.663099816,15.44%,48.14%,,,
20-Apr-16,"? 7,914.75",21.59,3.34,1.41,7.417,2.785226031,? 366.59,63,? 373.53,1.89%,11.41388618,6.539341694,? 323.49,-4.68%,-4.611874965,-6.599634719,15.22%,47.98%,,,
21-Apr-16,"? 7,912.05",21.59,3.34,1.41,7.437,2.805226031,? 366.47,63,? 373.54,1.93%,11.18088363,6.462186611,? 323.42,-4.69%,-4.604383858,-6.584305262,16.51%,46.59%,,,
22-Apr-16,"? 7,899.30",21.55,3.29,1.36,7.473,2.83262877,? 366.56,63,? 373.47,1.89%,11.42153502,6.637331679,? 325.78,-4.45%,-4.84050705,-6.969569809,17.82%,45.56%,,,
25-Apr-16,"? 7,855.05",21.4,3.27,1.37,7.456,2.783102804,? 367.06,63,? 373.37,1.72%,12.43995868,6.924977049,? 325.86,-4.44%,-4.824175542,-6.979798364,19.06%,44.61%,,,
26-Apr-16,"? 7,962.65",21.6,3.32,1.35,7.47,2.84037037,? 368.64,63,? 373.46,1.31%,16.51943605,8.127784761,? 325.84,-4.44%,-4.859425881,-6.979067081,17.32%,41.94%,,,
27-Apr-16,"? 7,979.90",21.66,3.33,1.35,7.469,2.852194829,? 368.42,63,? 373.20,1.30%,16.69028773,8.180497485,? 325.82,-4.42%,-4.895209413,-7.044511597,16.59%,41.34%,,,
28-Apr-16,"? 7,847.25",21.3,3.27,1.37,7.46,2.765164319,? 368.42,63,? 373.20,1.30%,16.40018705,7.98121776,? 325.89,-4.42%,-4.82176695,-6.989409486,18.69%,42.07%,,,
29-Apr-16,"? 7,849.80",21.24,3.27,1.37,7.443,2.734902072,? 369.58,63,? 373.15,0.97%,21.96963741,9.089396418,? 325.86,-4.42%,-4.809656461,-6.972814311,18.63%,42.96%,,,
02-May-16,"? 7,805.90",21.25,3.25,1.38,7.435,2.729117647,? 367.34,66,? 373.34,1.63%,13.00214638,7.049623108,? 325.93,-4.43%,-4.800713236,-6.975387795,19.91%,42.93%,,,
03-May-16,"? 7,747.00",21.08,3.23,1.39,7.439,2.695166983,? 367.50,66,? 373.16,1.54%,13.69708797,7.19696298,? 325.83,-4.42%,-4.769012508,-6.956631273,19.86%,45.31%,,,
04-May-16,"? 7,706.55",20.88,3.21,1.39,7.442,2.652727969,? 369.09,66,? 373.26,1.13%,18.48034096,8.286209867,? 325.80,-4.43%,-4.711644283,-6.864866822,20.86%,48.02%,,,
05-May-16,"? 7,735.50",20.96,3.22,1.39,7.432,2.661007634,? 369.06,66,? 371.77,0.73%,28.58883815,9.872108791,? 325.98,-4.29%,-4.889456808,-7.235633347,20.44%,52.91%,,,
06-May-16,"? 7,733.45",20.91,3.22,1.39,7.435,2.652599235,? 369.84,66,? 368.99,-0.23%,-90.88966852,18.0267813,? 326.02,-4.04%,-5.171300035,-7.880245395,21.64%,51.41%,,,
09-May-16,"? 7,866.05",21.24,3.28,1.37,7.435,2.726902072,? 370.34,66,? 368.90,-0.39%,-54.75395824,21.62750345,? 326.01,-4.04%,-5.262391188,-7.966430067,19.79%,49.22%,,,
10-May-16,"? 7,887.80",21.3,3.29,1.36,7.425,2.730164319,? 370.32,66,? 369.66,-0.18%,-119.8816219,18.01535528,? 328.64,-3.85%,-5.539277042,-8.570507227,19.18%,47.79%,,,
11-May-16,"? 7,848.85",21.19,3.27,1.37,7.428,2.708792827,? 370.40,66,? 370.71,0.08%,258.7393758,14.59469838,? 328.59,-3.94%,-5.377134761,-8.242697214,20.34%,50.90%,,,
12-May-16,"? 7,900.40",21.33,3.29,1.36,7.428,2.739767464,? 370.39,66,? 370.80,0.11%,190.752599,14.49225899,? 328.51,-3.96%,-5.391703333,-8.216239413,20.40%,50.94%,,,
13-May-16,"? 7,814.90",21.1,3.26,1.38,7.422,2.682663507,? 370.37,66,? 370.82,0.12%,177.3142884,14.0760719,? 328.65,-3.94%,-5.3507323,-8.231302024,21.89%,52.64%,,,
16-May-16,"? 7,860.75",21.54,3.28,1.37,7.448,2.805474466,? 364.94,66,? 372.96,2.20%,9.79600719,6.035549111,? 328.68,-4.13%,-5.221560721,-7.817934625,19.96%,50.89%,,,
17-May-16,"? 7,890.75",21.62,3.29,1.36,7.452,2.826653099,? 364.97,66,? 372.85,2.16%,10.01876395,6.145623128,? 331.16,-3.88%,-5.578590687,-8.594607566,19.48%,51.39%,,,
18-May-16,"? 7,870.15",21.57,3.28,1.37,7.452,2.815931386,? 364.87,66,? 373.70,2.42%,8.908665666,5.689434401,? 332.06,-3.86%,-5.586663444,-8.659239948,19.92%,51.49%,,,
19-May-16,"? 7,783.40",21.33,3.24,1.38,7.474,2.785767464,? 364.90,66,? 371.50,1.81%,11.80517841,6.693162779,? 332.22,-3.66%,-5.834442467,-9.372214078,20.59%,55.31%,,,
20-May-16,"? 7,749.70",21.19,3.22,1.39,7.47,2.750792827,? 365.72,66,? 370.76,1.38%,15.40505958,7.662205972,? 332.37,-3.58%,-5.923717971,-9.688428032,20.79%,55.12%,,,
23-May-16,"? 7,731.05",21.13,3.22,1.39,7.476,2.743392333,? 365.88,66,? 371.47,1.53%,13.83525338,7.243103195,? 332.25,-3.65%,-5.788063247,-9.347007198,23.01%,53.20%,,,
24-May-16,"? 7,748.85",21.16,3.22,1.39,7.464,2.738102079,? 366.20,66,? 371.46,1.44%,14.72976765,7.486166617,? 332.28,-3.65%,-5.800953987,-9.372470198,23.83%,53.19%,,,
25-May-16,"? 7,934.90",22.07,3.3,1.36,7.466,2.934962392,? 359.53,66,? 371.51,3.33%,6.626088474,4.704980944,? 332.25,-3.65%,-6.038679016,-9.617509719,21.05%,50.26%,,,
26-May-16,"? 8,069.65",22.39,3.36,1.33,7.463,2.996720411,? 360.41,66,? 371.01,2.94%,7.616581944,5.244003279,? 333.48,-3.49%,-6.410985841,-10.3540321,19.27%,48.28%,,,
27-May-16,"? 8,156.65",22.66,3.4,1.32,7.469,3.055937335,? 359.96,66,? 370.98,3.06%,7.398868447,5.170410812,? 334.08,-3.43%,-6.601827928,-10.72722284,17.96%,45.97%,,,
30-May-16,"? 8,178.50",22.69,3.41,1.31,7.471,3.063772146,? 360.45,66,? 371.23,2.99%,7.582029213,5.273552392,? 334.51,-3.41%,-6.649019666,-10.79174425,17.58%,45.68%,,,
31-May-16,"? 8,160.10",22.6,3.4,1.32,7.46,3.035221239,? 361.07,66,? 371.46,2.88%,7.851000067,5.38272847,? 334.46,-3.44%,-6.575576778,-10.67568157,18.30%,44.89%,,,
01-Jun-16,"? 8,179.95",22.65,3.41,1.31,7.471,3.055988962,? 361.15,67,? 368.74,2.10%,10.76780155,6.635430929,? 336.17,-3.04%,-7.461078359,-13.1246964,18.28%,42.69%,,,
02-Jun-16,"? 8,218.95",22.76,3.43,1.31,7.486,3.092326889,? 361.11,67,? 369.71,2.38%,9.560372665,6.166918093,? 335.31,-3.20%,-7.106324436,-12.02463544,17.26%,42.25%,,,
03-Jun-16,"? 8,220.80",22.77,3.43,1.31,7.486,3.094256478,? 361.04,67,? 369.82,2.43%,9.363617266,6.085383734,? 335.34,-3.21%,-7.094436523,-11.98700397,17.55%,42.22%,,,
06-Jun-16,"? 8,201.05",22.71,3.42,1.31,7.488,3.084653457,? 361.12,67,? 368.79,2.12%,10.69661398,6.615009273,? 336.60,-3.00%,-7.574536801,-13.45217261,17.63%,44.27%,,,
07-Jun-16,"? 8,266.45",22.69,3.44,1.3,7.475,3.067772146,? 364.32,67,? 367.93,0.99%,22.87812305,9.900613531,? 336.63,-2.92%,-7.769715616,-14.00346892,16.96%,41.83%,,,
