Date,close,P_E,P_B,Div_Yield,a10_y_GSEC,Yield_gap,EPS,MCAP_GDP,EPS_1YEARAGO,EPS_GROWTH_1,PEG_1,PEGY_1,EPS_3YEARAGO,EPS_GROWTH_3,PEG_3,PEGY_3,return_1,return_3,return-5,return_7,return_10
12-Dec-03,"? 1,698.90",18.73,3.66,1.62,5.214,-0.125028297,? 90.70,70,? 73.72,-18.73%,-1.000051843,-1.094743598,? 65.92,-3.66%,-5.119695445,-9.188485787,17.13%,133.21%,71.69%,245.12%,263.26%
15-Dec-03,"? 1,723.95",19.01,3.71,1.6,5.193,-0.067389269,? 90.69,70,? 73.74,-18.69%,-1.017330798,-1.112596782,? 65.93,-3.66%,-5.187089738,-9.20639894,14.21%,123.30%,65.74%,233.65%,263.86%
16-Dec-03,"? 1,736.25",19.15,3.74,1.59,5.203,-0.018932115,? 90.67,70,? 73.71,-18.70%,-1.024286301,-1.11949386,? 65.95,-3.64%,-5.254800765,-9.321970959,14.35%,114.08%,68.31%,225.68%,259.50%
17-Dec-03,"? 1,733.25",19.11,3.73,1.59,5.208,-0.024862376,? 90.70,70,? 73.71,-18.73%,-1.020377415,-1.11504223,? 65.92,-3.66%,-5.227775128,-9.252110181,15.78%,117.23%,71.90%,226.25%,264.68%
18-Dec-03,"? 1,756.10",19.37,3.78,1.57,5.193,0.030377388,? 90.66,70,? 73.73,-18.67%,-1.037294059,-1.13251103,? 65.82,-3.71%,-5.214138207,-9.030725679,15.52%,118.84%,68.51%,225.95%,259.83%
19-Dec-03,"? 1,778.55",19.61,3.83,1.55,5.153,0.053560938,? 90.70,70,? 73.75,-18.69%,-1.049482107,-1.144414039,? 65.81,-3.72%,-5.26482798,-9.01726073,14.32%,118.64%,70.56%,219.98%,252.06%
22-Dec-03,"? 1,789.15",19.73,3.85,1.54,5.158,0.08957628,? 90.68,70,? 73.72,-18.70%,-1.054983974,-1.149652611,? 65.82,-3.71%,-5.318592779,-9.093725369,12.46%,119.59%,70.29%,219.24%,252.34%
23-Dec-03,"? 1,780.30",19.63,3.83,1.55,5.152,0.057756495,? 90.69,70,? 73.75,-18.68%,-1.050716636,-1.145776435,? 65.80,-3.73%,-5.260973217,-8.999431887,13.85%,115.24%,75.33%,219.97%,254.65%
24-Dec-03,"? 1,808.70",19.95,3.89,1.52,5.145,0.132468672,? 90.66,70,? 73.71,-18.70%,-1.066927632,-1.161331989,? 65.79,-3.72%,-5.366097013,-9.07731717,13.05%,110.96%,72.10%,217.53%,250.47%
26-Dec-03,"? 1,837.05",20.26,3.95,1.5,5.145,0.209165844,? 90.67,70,? 73.72,-18.69%,-1.083815819,-1.178371952,? 65.80,-3.72%,-5.449729497,-9.13593816,10.79%,108.68%,58.97%,209.59%,245.43%
29-Dec-03,"? 1,874.05",20.67,4.03,1.47,5.108,0.270070634,? 90.67,70,? 73.72,-18.69%,-1.105823775,-1.200212691,? 65.81,-3.71%,-5.568476545,-9.219583494,9.13%,106.57%,53.30%,199.05%,234.40%
30-Dec-03,"? 1,873.25",20.66,4.03,1.47,5.118,0.277728945,? 90.67,70,? 73.73,-18.68%,-1.105828342,-1.200267659,? 65.81,-3.72%,-5.556256503,-9.189039034,10.11%,110.36%,48.04%,194.26%,227.55%
31-Dec-03,"? 1,879.75",20.73,4.05,1.47,5.106,0.282073324,? 90.68,70,? 73.74,-18.68%,-1.109514774,-1.204263326,? 65.79,-3.73%,-5.561652786,-9.183500132,9.73%,111.42%,46.03%,192.91%,225.91%
01-Jan-04,"? 1,912.25",21.09,4.12,1.44,5.122,0.380416311,? 90.67,9,? 73.74,-18.68%,-1.129214438,-1.223552027,? 65.81,-3.72%,-5.671608938,-9.256002031,8.32%,107.64%,48.27%,183.29%,220.05%
02-Jan-04,"? 1,946.05",21.46,4.19,1.42,5.127,0.467167754,? 90.68,9,? 73.76,-18.67%,-1.149631052,-1.244284586,? 65.81,-3.73%,-5.75664813,-9.298642442,6.35%,103.82%,40.63%,179.13%,212.10%
05-Jan-04,"? 1,955.00",21.56,4.21,1.41,5.092,0.453781076,? 90.68,9,? 73.72,-18.70%,-1.152988612,-1.24701905,? 65.80,-3.72%,-5.800991883,-9.347067508,5.36%,104.98%,44.68%,182.70%,211.48%
06-Jan-04,"? 1,926.70",21.25,4.15,1.43,5.12,0.414117647,? 90.67,9,? 73.72,-18.70%,-1.136489952,-1.230605542,? 65.79,-3.72%,-5.712870636,-9.280808795,7.98%,108.86%,47.72%,180.05%,211.51%
07-Jan-04,"? 1,916.75",21.14,4.12,1.44,5.116,0.385631031,? 90.67,9,? 73.74,-18.67%,-1.132361433,-1.227004483,? 65.81,-3.72%,-5.681165706,-9.267591489,10.34%,108.10%,45.90%,181.52%,213.08%
08-Jan-04,"? 1,968.55",21.71,4.24,1.4,5.119,0.512827729,? 90.67,9,? 73.75,-18.66%,-1.163406249,-1.257768976,? 65.81,-3.73%,-5.826268713,-9.332709,6.87%,102.35%,37.47%,169.87%,205.93%
09-Jan-04,"? 1,971.90",21.75,4.24,1.4,5.113,0.515298851,? 90.66,9,? 73.75,-18.66%,-1.165740449,-1.260309221,? 65.80,-3.73%,-5.829676133,-9.331117533,3.06%,99.47%,37.62%,166.42%,206.12%
12-Jan-04,"? 1,945.60",21.46,4.19,1.42,5.131,0.471167754,? 90.66,9,? 73.74,-18.67%,-1.149576411,-1.244220577,? 65.82,-3.72%,-5.774842272,-9.346206255,2.71%,101.04%,37.67%,168.60%,211.64%
13-Jan-04,"? 1,963.60",21.66,4.23,1.4,5.14,0.523194829,? 90.66,9,? 73.75,-18.65%,-1.16127366,-1.255511389,? 61.71,-5.76%,-3.757608345,-4.962989699,2.64%,96.08%,41.14%,170.42%,208.28%
14-Jan-04,"? 1,982.15",21.86,4.27,1.39,5.128,0.553434584,? 90.67,9,? 73.75,-18.67%,-1.171095661,-1.26531866,? 61.72,-5.76%,-3.793636646,-4.999678768,-0.01%,98.89%,43.76%,175.26%,205.86%
15-Jan-04,"? 1,944.45",21.44,4.18,1.42,5.124,0.459820896,? 90.69,9,? 73.71,-18.73%,-1.144912666,-1.238853843,? 61.72,-5.75%,-3.730383082,-4.954477273,0.39%,108.41%,45.23%,181.88%,212.89%
16-Jan-04,"? 1,900.65",20.96,4.09,1.45,5.139,0.368007634,? 90.68,9,? 73.74,-18.68%,-1.121763131,-1.216139033,? 61.72,-5.76%,-3.639932428,-4.864973028,0.68%,114.58%,51.25%,188.41%,215.74%
19-Jan-04,"? 1,935.35",21.35,4.17,1.42,5.137,0.453159251,? 90.65,9,? 73.71,-18.69%,-1.142627128,-1.23660509,? 61.73,-5.74%,-3.71946882,-4.942053054,0.99%,110.84%,42.95%,186.59%,212.52%
20-Jan-04,"? 1,893.25",20.88,4.07,1.46,5.143,0.353727969,? 90.67,9,? 73.72,-18.69%,-1.116942543,-1.211566346,? 61.72,-5.75%,-3.630962758,-4.86651923,2.00%,115.31%,47.04%,188.34%,220.79%
21-Jan-04,"? 1,824.60",20.13,3.93,1.51,5.142,0.174290114,? 90.64,9,? 73.73,-18.66%,-1.078811005,-1.173799846,? 61.71,-5.76%,-3.496289972,-4.739223128,5.94%,125.20%,53.63%,202.46%,235.81%
22-Jan-04,"? 1,770.50",19.53,3.81,1.56,5.145,0.024672299,? 90.66,9,? 73.72,-18.68%,-1.045246524,-1.140465436,? 61.72,-5.75%,-3.39834967,-4.664540991,9.24%,131.02%,57.02%,208.91%,247.51%
23-Jan-04,"? 1,847.55",20.38,3.98,1.49,5.138,0.231228656,? 90.66,9,? 73.75,-18.64%,-1.093120686,-1.188070094,? 61.72,-5.77%,-3.534251584,-4.765661864,4.28%,122.05%,53.88%,194.30%,229.70%
27-Jan-04,"? 1,904.70",21.01,4.1,1.45,5.134,0.374361733,? 90.66,9,? 73.75,-18.65%,-1.126353498,-1.22129053,? 61.73,-5.76%,-3.650405262,-4.879776177,1.08%,113.48%,53.30%,176.30%,223.17%
28-Jan-04,"? 1,863.10",20.55,4.01,1.48,5.143,0.276819951,? 90.66,9,? 73.75,-18.65%,-1.10159893,-1.196527296,? 61.73,-5.76%,-3.569703684,-4.805016473,2.46%,119.52%,57.51%,184.66%,232.03%
29-Jan-04,"? 1,843.60",20.34,3.97,1.49,5.149,0.232579154,? 90.64,9,? 73.73,-18.66%,-1.090167853,-1.184784619,? 61.73,-5.75%,-3.53911387,-4.777786707,4.79%,124.98%,58.69%,189.28%,236.30%
30-Jan-04,"? 1,809.75",19.96,3.9,1.52,5.19,0.17997996,? 90.67,9,? 73.72,-18.70%,-1.067591472,-1.162066997,? 61.72,-5.75%,-3.472946661,-4.721711306,8.03%,127.90%,59.86%,205.14%,244.73%
03-Feb-04,"? 1,769.00",19.55,3.81,1.55,5.223,0.107910486,? 90.49,68,? 73.74,-18.50%,-1.056500876,-1.153087519,? 61.72,-5.76%,-3.394660749,-4.644760388,13.53%,130.79%,66.67%,212.96%,254.83%
04-Feb-04,"? 1,822.20",20.14,3.93,1.51,5.196,0.230756703,? 90.48,68,? 73.73,-18.51%,-1.088304772,-1.184995472,? 61.72,-5.75%,-3.50002944,-4.74525775,12.92%,127.04%,56.32%,203.96%,241.43%
05-Feb-04,"? 1,804.50",19.94,3.89,1.52,5.169,0.153954865,? 90.50,68,? 73.75,-18.51%,-1.077258313,-1.173634842,? 61.73,-5.76%,-3.464527483,-4.707854912,14.15%,131.84%,53.53%,202.75%,249.01%
06-Feb-04,"? 1,833.65",20.27,3.95,1.5,5.194,0.260600888,? 90.46,68,? 73.71,-18.52%,-1.094678448,-1.191172063,? 61.69,-5.76%,-3.518819787,-4.757708767,11.92%,129.89%,51.40%,201.08%,245.14%
09-Feb-04,"? 1,880.70",20.78,4.06,1.46,5.219,0.406680462,? 90.51,68,? 73.71,-18.56%,-1.119688378,-1.215294575,? 61.69,-5.76%,-3.608224137,-4.833608339,10.57%,123.10%,48.31%,194.09%,240.36%
10-Feb-04,"? 1,880.75",20.79,4.06,1.46,5.214,0.40399519,? 90.46,68,? 73.76,-18.47%,-1.125827029,-1.222479177,? 61.71,-5.77%,-3.601236539,-4.820291614,10.49%,124.60%,45.50%,192.14%,247.02%
11-Feb-04,"? 1,891.50",20.71,4.08,1.45,5.232,0.403414775,? 91.33,68,? 73.74,-19.26%,-1.075454083,-1.163026947,? 61.69,-5.78%,-3.585288012,-4.786907591,8.65%,123.28%,44.54%,187.89%,245.61%
12-Feb-04,"? 1,885.30",20.64,4.07,1.46,5.287,0.44203876,? 91.34,68,? 73.74,-19.27%,-1.071141773,-1.15895429,? 61.69,-5.77%,-3.575563067,-4.786067651,9.01%,122.11%,46.53%,193.40%,245.40%
13-Feb-04,"? 1,913.60",20.95,4.13,1.44,5.278,0.50473031,? 91.34,68,? 73.75,-19.26%,-1.087865545,-1.175784259,? 66.70,-3.29%,-6.359234196,-11.29732167,8.17%,112.08%,45.57%,184.79%,240.56%
16-Feb-04,"? 1,913.55",20.98,4.13,1.43,5.293,0.526555767,? 91.21,68,? 73.71,-19.19%,-1.093472486,-1.181533669,? 66.70,-3.28%,-6.404562484,-11.36640847,7.83%,111.36%,44.43%,188.01%,239.32%
17-Feb-04,"? 1,920.10",21.05,4.15,1.43,5.335,0.584406176,? 91.22,68,? 73.74,-19.16%,-1.098486974,-1.187071028,? 66.70,-3.29%,-6.401939242,-11.32898282,8.43%,110.78%,39.29%,183.66%,238.74%
18-Feb-04,"? 1,916.45",21.01,4.14,1.43,5.335,0.575361733,? 91.22,68,? 73.74,-19.16%,-1.096748297,-1.18522254,? 66.71,-3.29%,-6.390300252,-11.30910303,9.49%,116.35%,36.84%,180.40%,240.04%
19-Feb-04,"? 1,858.30",20.38,4.01,1.48,5.311,0.404228656,? 91.18,68,? 73.72,-19.16%,-1.063925001,-1.153009343,? 66.76,-3.25%,-6.267130766,-11.50186324,12.47%,124.11%,42.35%,188.69%,251.08%
20-Feb-04,"? 1,852.65",20.31,4,1.48,5.328,0.404317085,? 91.22,68,? 73.76,-19.14%,-1.060927664,-1.149820688,? 66.77,-3.26%,-6.224239104,-11.39059827,11.67%,121.68%,39.08%,192.22%,249.94%
23-Feb-04,"? 1,808.20",19.83,3.91,1.52,5.268,0.225135653,? 91.19,68,? 73.74,-19.13%,-1.036744842,-1.12624541,? 66.75,-3.27%,-6.073235464,-11.36294665,14.03%,126.53%,44.90%,203.08%,259.10%
24-Feb-04,"? 1,821.35",19.97,3.93,1.51,5.267,0.259488733,? 91.20,68,? 73.73,-19.16%,-1.042360317,-1.131544623,? 66.76,-3.26%,-6.129593074,-11.42471356,12.86%,121.81%,41.28%,203.20%,256.60%
25-Feb-04,"? 1,786.80",19.6,3.86,1.54,5.25,0.147959184,? 91.16,68,? 73.75,-19.10%,-1.026266584,-1.116277912,? 66.75,-3.27%,-5.996865808,-11.3401385,14.35%,120.45%,46.49%,216.45%,268.45%
26-Feb-04,"? 1,765.80",19.37,3.81,1.55,5.232,0.069377388,? 91.16,68,? 73.71,-19.14%,-1.011919892,-1.101079218,? 66.75,-3.25%,-5.951831173,-11.36429912,16.57%,123.24%,54.00%,222.08%,273.19%
27-Feb-04,"? 1,800.30",19.74,3.89,1.52,5.255,0.18914387,? 91.20,68,? 73.71,-19.18%,-1.029376277,-1.117991668,? 66.77,-3.24%,-6.085800158,-11.4526656,14.26%,116.29%,54.27%,218.63%,266.68%
01-Mar-04,"? 1,852.70",21.57,4.26,1.39,5.261,0.624931386,? 85.89,62,? 73.74,-14.15%,-1.524047054,-1.690027447,? 66.77,-3.26%,-6.626680181,-11.56553765,10.94%,102.15%,48.83%,212.39%,258.49%
03-Mar-04,"? 1,860.40",21.72,3.67,1.38,5.257,0.652948435,? 85.65,62,? 73.74,-13.90%,-1.562182956,-1.734322663,? 66.75,-3.27%,-6.650320027,-11.51638659,10.78%,104.86%,50.22%,213.16%,259.92%
04-Mar-04,"? 1,843.85",21.53,3.64,1.39,5.249,0.604318161,? 85.64,62,? 73.74,-13.90%,-1.548816857,-1.72089478,? 66.78,-3.25%,-6.62452759,-11.57500078,14.07%,102.12%,52.24%,220.44%,264.51%
05-Mar-04,"? 1,867.70",21.81,3.68,1.37,5.243,0.657947272,? 85.64,62,? 73.50,-14.17%,-1.538741807,-1.703384872,? 66.69,-3.19%,-6.844266477,-12.0058868,11.60%,91.49%,50.29%,216.43%,261.54%
08-Mar-04,"? 1,885.25",22.01,3.72,1.36,5.233,0.689610632,? 85.65,62,? 73.50,-14.19%,-1.550563203,-1.714863311,? 66.71,-3.18%,-6.927346006,-12.11162076,11.03%,93.91%,55.94%,212.52%,257.31%
09-Mar-04,"? 1,866.05",21.79,3.68,1.38,5.229,0.639738871,? 85.64,62,? 73.50,-14.17%,-1.5377801,-1.703704545,? 66.71,-3.18%,-6.846902583,-12.0890276,14.08%,94.36%,57.48%,215.41%,258.74%
10-Mar-04,"? 1,844.35",21.54,3.64,1.39,5.223,0.580474466,? 85.62,62,? 73.49,-14.17%,-1.519918114,-1.685206534,? 66.70,-3.18%,-6.77509856,-12.0382976,16.47%,103.96%,61.81%,216.75%,263.00%
11-Mar-04,"? 1,805.40",21.08,3.56,1.42,5.215,0.471166983,? 85.65,62,? 73.48,-14.20%,-1.484287777,-1.649181576,? 66.71,-3.17%,-6.645141699,-12.03029926,19.65%,105.94%,70.72%,220.47%,276.44%
12-Mar-04,"? 1,812.20",21.16,3.58,1.42,5.211,0.485102079,? 85.64,62,? 73.46,-14.22%,-1.488112639,-1.653208471,? 66.72,-3.16%,-6.693040892,-12.15049587,19.69%,106.08%,71.54%,226.21%,275.04%
15-Mar-04,"? 1,763.40",20.59,3.48,1.46,5.186,0.329273434,? 85.64,62,? 73.49,-14.19%,-1.451212322,-1.617675796,? 66.69,-3.18%,-6.466408211,-11.94213109,22.54%,113.82%,68.89%,230.30%,284.27%
16-Mar-04,"? 1,749.35",20.43,3.45,1.79,5.203,0.308237396,? 85.63,62,? 73.50,-14.16%,-1.443018388,-1.651867007,? 66.72,-3.18%,-6.428431095,-14.71828451,23.90%,108.14%,74.94%,227.50%,284.89%
17-Mar-04,"? 1,749.85",20.44,3.45,1.79,5.195,0.302632094,? 85.61,62,? 73.50,-14.14%,-1.445202771,-1.654612705,? 66.71,-3.18%,-6.424049054,-14.68608263,23.10%,108.22%,83.50%,228.07%,281.48%
18-Mar-04,"? 1,716.65",20.05,3.39,1.82,5.169,0.181468828,? 85.62,62,? 73.22,-14.48%,-1.385006159,-1.584170003,? 66.72,-3.05%,-6.568128418,-16.2661651,25.03%,110.21%,89.71%,240.88%,294.92%
19-Mar-04,"? 1,725.10",20.15,3.4,1.82,5.177,0.214220844,? 85.61,62,? 73.23,-14.46%,-1.393371609,-1.593978451,? 66.69,-3.07%,-6.561656627,-16.10877746,23.41%,113.26%,93.78%,241.12%,295.20%
22-Mar-04,"? 1,685.00",19.68,3.32,1.86,5.163,0.081699187,? 85.62,62,? 73.19,-14.51%,-1.355869782,-1.55515733,? 66.72,-3.04%,-6.471730539,-16.66500541,26.15%,119.44%,98.34%,248.64%,304.47%
23-Mar-04,"? 1,696.40",19.81,3.35,1.85,5.168,0.120044422,? 85.63,62,? 73.19,-14.53%,-1.363648916,-1.562647951,? 66.70,-3.05%,-6.499917662,-16.53960816,23.70%,121.91%,99.40%,245.93%,303.25%
24-Mar-04,"? 1,692.10",19.76,3.34,1.85,5.182,0.121271255,? 85.63,62,? 73.21,-14.51%,-1.36165221,-1.56060182,? 66.71,-3.05%,-6.483695631,-16.49905151,24.65%,129.06%,105.91%,244.77%,300.85%
25-Mar-04,"? 1,704.45",19.91,3.36,1.84,5.173,0.150398292,? 85.61,62,? 73.23,-14.46%,-1.376978268,-1.577754912,? 66.73,-3.05%,-6.524467893,-16.43295377,23.01%,126.53%,97.69%,239.43%,296.68%
26-Mar-04,"? 1,747.50",20.41,3.45,1.79,5.167,0.26744096,? 85.62,62,? 73.20,-14.50%,-1.407273578,-1.605415313,? 66.75,-3.03%,-6.740121367,-16.48446549,17.97%,118.60%,93.67%,229.01%,284.28%
29-Mar-04,"? 1,762.05",20.58,3.48,1.78,5.16,0.300913508,? 85.62,62,? 73.24,-14.45%,-1.423730342,-1.623670627,? 66.73,-3.06%,-6.730735119,-16.10813274,15.00%,113.45%,91.66%,223.56%,280.03%
30-Mar-04,"? 1,750.15",20.44,3.45,1.79,5.158,0.265632094,? 85.62,62,? 73.20,-14.51%,-1.408345228,-1.606477861,? 66.72,-3.04%,-6.718235246,-16.31980878,15.16%,117.02%,92.29%,217.99%,282.53%
01-Apr-04,"? 1,819.65",21.27,3.59,1.72,5.147,0.445542548,? 85.55,68,? 73.24,-14.39%,-1.477772698,-1.67833392,? 66.75,-3.04%,-6.988157686,-16.06834468,11.53%,110.02%,83.02%,204.30%,268.17%
02-Apr-04,"? 1,841.10",21.53,3.64,1.7,5.127,0.482318161,? 85.51,68,? 73.22,-14.38%,-1.497179812,-1.697899951,? 66.74,-3.04%,-7.081690949,-16.06435485,7.75%,97.36%,85.96%,196.55%,264.74%
05-Apr-04,"? 1,856.60",21.71,3.67,1.69,5.111,0.504827729,? 85.52,68,? 73.23,-14.37%,-1.511243393,-1.712732113,? 66.59,-3.12%,-6.955736956,-15.16946402,7.38%,98.79%,87.48%,199.01%,258.32%
06-Apr-04,"? 1,851.15",21.64,3.66,1.69,5.128,0.506927911,? 85.54,68,? 73.21,-14.41%,-1.50152901,-1.700993624,? 66.60,-3.10%,-6.969566936,-15.2940699,11.70%,101.67%,87.45%,199.87%,259.77%
07-Apr-04,"? 1,848.70",21.61,3.65,1.69,5.131,0.503512726,? 85.55,68,? 73.21,-14.43%,-1.49808657,-1.696889308,? 66.61,-3.10%,-6.971111055,-15.32693389,11.61%,102.95%,81.88%,199.74%,271.01%
08-Apr-04,"? 1,853.55",21.67,3.66,1.69,5.121,0.506325335,? 85.54,68,? 73.19,-14.43%,-1.501658299,-1.70084672,? 69.20,-1.85%,-11.70048877,-133.7164181,10.74%,107.36%,87.42%,200.24%,278.42%
12-Apr-04,"? 1,838.20",19.04,3.61,1.95,5.113,-0.13910084,? 96.54,68,? 73.19,-24.19%,-0.786979362,-0.855969895,? 69.23,-1.84%,-10.3673618,167.8017969,12.57%,109.34%,98.78%,198.45%,286.72%
13-Apr-04,"? 1,878.45",19.46,3.69,1.9,5.081,-0.057746146,? 96.53,68,? 73.23,-24.14%,-0.806132917,-0.875002373,? 69.58,-1.69%,-11.52285512,92.14781024,9.28%,105.63%,94.94%,195.18%,278.44%
15-Apr-04,"? 1,861.95",19.29,3.65,1.92,5.08,-0.104033178,? 96.52,68,? 73.23,-24.13%,-0.799340633,-0.868434234,? 69.55,-1.71%,-11.31058925,89.92228747,9.09%,105.69%,94.69%,195.34%,282.56%
16-Apr-04,"? 1,868.95",19.36,3.67,1.91,5.078,-0.087289256,? 96.54,68,? 73.23,-24.15%,-0.801741987,-0.870604617,? 69.56,-1.70%,-11.39623462,91.66958489,7.45%,109.60%,97.11%,191.02%,285.40%
17-Apr-04,"? 1,868.10",19.35,3.67,1.91,5.079,-0.088958656,? 96.54,68,? 73.24,-24.14%,-0.801507112,-0.870366291,? 69.57,-1.70%,-11.40706548,90.55473371,8.40%,114.84%,93.82%,190.17%,288.82%
19-Apr-04,"? 1,844.05",19.1,3.62,1.94,5.061,-0.174602094,? 96.55,68,? 73.21,-24.18%,-0.790051119,-0.858980928,? 69.57,-1.68%,-11.34728113,74.38349196,9.84%,116.10%,92.76%,194.36%,294.54%
20-Apr-04,"? 1,844.25",19.11,3.62,1.94,5.069,-0.163862376,? 96.51,68,? 73.20,-24.15%,-0.791262706,-0.860373998,? 69.54,-1.69%,-11.28734308,77.38308083,6.08%,117.52%,99.60%,197.48%,293.27%
21-Apr-04,"? 1,873.35",19.41,3.68,1.91,5.062,-0.089983514,? 96.51,68,? 73.20,-24.16%,-0.803378208,-0.872340884,? 69.56,-1.69%,-11.51012657,86.78395425,2.91%,113.40%,94.05%,187.54%,288.42%
22-Apr-04,"? 1,889.55",19.58,3.71,1.89,5.07,-0.037252298,? 96.50,68,? 73.21,-24.13%,-0.811281833,-0.880211798,? 69.56,-1.69%,-11.56453028,99.44543651,1.05%,116.11%,90.17%,185.51%,289.89%
23-Apr-04,"? 1,892.45",19.68,3.73,1.88,5.067,-0.014300813,? 96.16,68,? 73.20,-23.87%,-0.824368755,-0.894837838,? 69.56,-1.69%,-11.65107652,103.0983478,1.97%,115.86%,94.02%,182.65%,288.86%
27-Apr-04,"? 1,817.25",18.9,3.58,1.96,5.079,-0.212005291,? 96.15,68,? 73.18,-23.89%,-0.791213099,-0.861936477,? 69.83,-1.55%,-12.17008133,46.43606851,7.23%,127.92%,137.90%,197.83%,302.70%
28-Apr-04,"? 1,816.55",18.89,3.58,1.96,5.112,-0.181806247,? 96.16,68,? 73.19,-23.89%,-0.790641018,-0.861298321,? 76.27,1.38%,13.66074341,5.650960701,8.30%,129.41%,137.73%,201.46%,303.49%
29-Apr-04,"? 1,808.95",18.82,3.56,1.97,5.123,-0.190496281,? 96.12,68,? 73.24,-23.81%,-0.790554457,-0.86187644,? 77.23,1.79%,10.53841471,5.010853275,8.96%,130.95%,136.07%,202.56%,299.99%
30-Apr-04,"? 1,796.10",18.68,3.54,1.98,5.135,-0.218319058,? 96.15,68,? 71.08,-26.07%,-0.716534342,-0.775427747,? 77.73,3.02%,6.176838086,3.732863638,8.96%,127.35%,134.45%,209.57%,302.54%
03-May-04,"? 1,766.70",16.62,3.48,2.02,5.117,-0.899847172,? 106.30,57,? 86.40,-18.72%,-0.887788618,-0.995169504,? 74.75,-4.71%,-3.527437992,-6.174685844,9.55%,131.39%,139.91%,216.52%,316.74%
04-May-04,"? 1,793.10",16.87,3.53,1.96,5.117,-0.810682276,? 106.29,57,? 86.42,-18.70%,-0.902304361,-1.007972139,? 73.38,-5.31%,-3.179910704,-5.043076274,8.27%,131.49%,136.33%,209.54%,313.58%
05-May-04,"? 1,809.90",16.86,3.57,1.94,5.124,-0.807198102,? 107.35,57,? 86.37,-19.54%,-0.862926296,-0.958054203,? 73.69,-5.16%,-3.268775968,-5.239451617,5.12%,127.49%,127.45%,204.81%,308.99%
06-May-04,"? 1,832.80",17.04,3.61,2,5.113,-0.755544601,? 107.56,57,? 86.38,-19.69%,-0.86528695,-0.963098781,? 73.65,-5.17%,-3.293146811,-5.367973772,4.58%,124.31%,133.31%,201.84%,307.80%
07-May-04,"? 1,804.45",16.77,3.56,2.03,5.112,-0.851029219,? 107.60,57,? 86.38,-19.72%,-0.850387632,-0.94797079,? 73.67,-5.17%,-3.245348168,-5.34519665,6.44%,125.94%,140.36%,207.91%,320.26%
10-May-04,"? 1,769.10",16.38,3.49,2.07,5.165,-0.940006105,? 108.00,57,? 86.36,-20.04%,-0.817307354,-0.911447172,? 73.63,-5.18%,-3.164506041,-5.273386643,9.81%,130.59%,151.48%,212.41%,332.68%
11-May-04,"? 1,699.45",15.74,3.35,2.16,5.189,-1.164240152,? 107.97,57,? 86.35,-20.03%,-0.785935478,-0.880949311,? 73.63,-5.17%,-3.042776269,-5.224189695,15.53%,139.30%,166.55%,224.87%,350.52%
12-May-04,"? 1,711.10",15.86,3.37,2.14,5.195,-1.11017024,? 107.89,57,? 86.39,-19.93%,-0.79579848,-0.891528692,? 73.65,-5.18%,-3.062395962,-5.21890536,15.57%,138.25%,164.46%,220.60%,345.73%
13-May-04,"? 1,717.50",15.91,3.39,2.14,5.187,-1.098355123,? 107.95,57,? 86.40,-19.96%,-0.797021562,-0.892725944,? 73.65,-5.18%,-3.069929224,-5.229200867,16.49%,140.72%,163.80%,219.23%,345.41%
14-May-04,"? 1,582.40",14.66,3.12,2.32,5.184,-1.637282401,? 107.94,57,? 86.40,-19.96%,-0.734468439,-0.83106512,? 73.65,-5.18%,-2.829470905,-5.1237589,26.03%,160.38%,188.97%,247.60%,376.62%
17-May-04,"? 1,388.75",12.87,2.74,2.64,5.227,-2.54300777,? 107.91,57,? 86.42,-19.91%,-0.646380481,-0.745185239,? 73.66,-5.18%,-2.482455121,-5.058199252,43.00%,200.34%,230.29%,292.26%,442.47%
18-May-04,"? 1,503.95",13.94,2.97,2.44,5.257,-1.916601148,? 107.89,57,? 86.38,-19.94%,-0.699149186,-0.796638803,? 73.67,-5.17%,-2.698201634,-5.112961783,32.53%,180.56%,194.55%,258.84%,407.44%
19-May-04,"? 1,567.85",14.41,3.09,2.34,5.187,-1.75262526,? 108.80,57,? 86.36,-20.63%,-0.698594646,-0.787986026,? 73.18,-5.37%,-2.683634401,-4.756428805,26.82%,168.81%,190.27%,242.28%,382.07%
20-May-04,"? 1,543.85",13.99,3.04,2.38,5.183,-1.964962831,? 110.35,57,? 86.35,-21.75%,-0.643207792,-0.72223754,? 73.19,-5.36%,-2.608420211,-4.689281265,30.36%,175.99%,201.54%,240.57%,388.43%
21-May-04,"? 1,560.20",14.14,3.08,2.35,5.185,-1.887135785,? 110.34,57,? 86.39,-21.71%,-0.65145878,-0.730555528,? 73.19,-5.38%,-2.629747918,-4.671382407,27.60%,174.20%,197.25%,238.15%,381.44%
24-May-04,"? 1,608.85",13.9,3.15,2.3,5.177,-2.017244604,? 115.74,57,? 86.42,-25.34%,-0.548628172,-0.603405439,? 73.27,-5.35%,-2.596497401,-4.552353563,23.24%,163.93%,184.89%,228.08%,365.76%
25-May-04,"? 1,606.70",13.88,3.14,2.3,5.178,-2.026610951,? 115.76,57,? 86.41,-25.35%,-0.547441173,-0.602056298,? 72.75,-5.57%,-2.490249529,-4.239800901,23.91%,161.71%,179.08%,231.11%,371.79%
